epoch,critic_loss,generator_loss
0,52.17437459528446,331.62317472696304
1,11.01132440008223,611.3133640289307
2,3.558374254964292,832.0957007408142
3,1.2440678745042533,1039.7943058013916
4,0.4413229142082855,1246.4075798988342
5,0.15996886100037955,1448.5701613426208
6,0.05689215044549201,1655.3586854934692
7,0.021456838672747836,1851.66459274292
8,0.008652891534438822,2038.6049766540527
9,0.0033515697596158134,2224.0430812835693
10,0.0013261052865800593,2414.6600198745728
11,0.01137187994299893,2428.1866550445557
12,0.006597462862373504,2177.067464828491
13,0.0016041428036714933,2422.083041191101
14,0.0006336635605066476,2600.1386394500732
15,0.0002193476701677355,2813.89483833313
16,0.00021067900649995863,2893.5619440078735
17,0.00017597560409399193,2917.6289863586426
18,0.0034045627260468336,2730.188027381897
19,0.0885540740516717,2239.901160478592
20,0.18837446125689894,1795.825965166092
21,0.15742842524923617,1642.6678442955017
22,0.17197753810614813,1681.398208618164
23,0.17397782466287026,1719.206422328949
24,0.24525864313181955,1663.3300256729126
25,0.9663272168618278,1448.1033186912537
26,1.4845650045317598,1284.491147518158
27,3.6671371328411624,1214.742101430893
28,4.06281532952562,1147.9612245559692
29,4.6090626085642725,1076.4869611263275
30,4.250531731173396,1049.6978607177734
31,7.228593752486631,977.7034661769867
32,6.623816219158471,950.450591802597
33,3.6916576100047678,1012.999694108963
34,6.315744838211685,995.3681128025055
35,5.912608107551932,954.5812170505524
36,7.163070636801422,919.3417274951935
37,6.316383837722242,941.4893593788147
38,7.012515663169324,959.4045286178589
39,4.67645297665149,1001.132107257843
40,4.534688716754317,1037.9199268817902
41,4.910221757832915,989.3046796321869
42,6.071273268200457,960.2252728939056
43,6.955208772793412,990.919436454773
44,7.078313938342035,913.8829197883606
45,7.032902098726481,931.422544002533
46,4.148857282008976,1015.943220615387
47,4.744668914703652,1064.982595205307
48,5.4329355340451,983.0580983161926
49,4.891446862369776,973.7726130485535
50,5.052354719489813,1012.1497395038605
51,2.9791978381108493,1079.7422313690186
52,6.18334800703451,1065.6054003238678
53,5.374962371774018,969.899393081665
54,3.347455803770572,1060.7462174892426
55,5.071831490145996,1089.977993965149
56,3.4762324332259595,1063.6574549674988
57,6.165729043073952,984.077475309372
58,4.820795327890664,1111.8776166439056
59,4.603905748575926,992.3345193862915
60,3.9529421615879983,1127.8395228385925
61,6.257125672418624,1002.5638346672058
62,4.888370545115322,1047.5871171951294
63,5.581212351564318,1048.8313932418823
64,5.09541776124388,963.1139690876007
65,4.91891473880969,1068.7240161895752
66,4.551310843322426,1123.6000566482544
67,2.7003923659212887,1122.8540120124817
68,3.7436979912454262,1252.2337355613708
69,5.508360120933503,1048.2048041820526
70,7.454459853004664,1006.674996137619
71,6.639540423639119,1073.5689706802368
72,5.8417438310571015,975.6326887607574
73,4.25211771694012,1140.8874506950378
74,2.6751297609880567,1126.693562746048
75,6.081954486202449,1097.519268989563
76,5.326413317583501,1051.6346559524536
77,3.039427272975445,1092.343082666397
78,3.7830982182640582,1153.840081691742
79,5.090073356637731,1175.0403189659119
80,3.652561755850911,1069.6104638576508
81,4.023782254895195,1129.781864643097
82,3.2606356783071533,1264.7323050498962
83,5.075041245785542,1166.900224685669
84,4.102074260357767,1110.5062720775604
85,3.9013986685313284,1173.993082523346
86,5.422300729202107,1070.490200996399
87,2.163733664667234,1215.9313173294067
88,4.199948425171897,1192.5965650081635
89,3.5402870832476765,1127.6201469898224
90,4.5255564514081925,1225.1413431167603
91,2.2582190479151905,1166.3666439056396
92,6.935914925998077,1107.112542629242
93,3.332266197539866,1079.6222558021545
94,4.368890275945887,1139.143268108368
95,4.719037912320346,1124.578610420227
96,6.31822262564674,1035.3113193511963
97,3.2906189013738185,1104.3256978988647
98,5.010503611760214,1156.1031517982483
99,3.429633929161355,1187.4863619804382
100,1.923936040024273,1218.9997191429138
101,4.622428681701422,1158.8057565689087
